,id,mu,sigma
163,Pirates Exdee,37.47340926413975,0.8992250001822572
69,Team Alke,37.44255642356037,1.3171652630635147
40,Three Rats,36.48877159910509,1.109418538079239
252,Bravado Gaming,35.53294900333639,0.8767049870332944
246,Pulse Clan,35.4935788153692,1.244927485675294
135,Water,35.4901191123741,1.8385443210337624
75,Sandrock Gaming,35.3379826755698,0.8806339273766692
308,OKAY LETSGO,35.01274324713997,1.4672932037108566
154,Tokyo Verdy Esports,34.93699509209695,0.8594357431020799
217,SLIM TYGER,34.9050317557687,5.155572587295057
168,ATK,33.66600253243892,0.8461137276309113
299,Dark Rift Esports,33.61744032963886,0.938839518947726
335,Royalty Esports,33.59398738284798,0.9649293602846404
325,GracesBlaze Aqua,33.54505418222688,5.230105955833353
156,Nimmt55,33.32157953260414,0.8381661807615852
315,UHUH,33.24796390629379,0.981380184140936
44,1NE eSports,33.0984947021313,1.113387555311869
301,Slot Machine,33.06894650132827,1.721328507265994
77,Team Falcons,32.43317863294283,0.8673353488063784
387,God Speed,32.2236419435805,1.3044424389651665
303,NSF,32.22286791614473,1.0532007623455104
255,SCYTES,31.802371834217457,0.9528878613547667
201,Disconnected Esports,31.718493436940026,1.0959804239307687
115,DeToNator,31.672476316765806,0.8212637582208312
73,TripleJawa,31.655395618089038,1.1864767147329103
274,Digital Devils,31.61516596053648,2.025802162248298
119,Team GanDerS,31.54512079654402,0.9153673721892843
50,Azure Esports,31.46468971822535,0.9966423728772985
410,Parabellum Esports,31.1900691107771,1.7921752469641172
95,Monkeys,31.145465736247747,3.173739952593331
83,ANKAA,31.047034611883586,0.925224765991609
279,AIPX Gaming,30.990514215575168,0.9857146361135245
101,Noble esports,30.94010168597039,0.8472685691412711
165,Orgless,30.91032808900474,1.203787304481684
318,Moonboots,30.905559766667018,1.1332753762455778
82,Sleeping,30.85862238181285,1.084444936338141
79,The Ultimates,30.8480068116762,0.8383981018678397
174,FURIA Esports,30.693001032797934,0.8162987662653345
0,Ground Zero Gaming,30.53832232548822,0.8281443606499352
401,The Goats,30.47525600663344,2.312393854233111
86,The Deadly Boyz,30.4087676085494,1.3476508864240304
166,Atomic Esports,30.222580921255148,1.2553478861334124
117,Hilltop Picnic,30.074280750230685,0.9668448827613667
278,DNMK Esports,30.060122385836497,1.0234875770106275
411,Bot Gaming,29.909417420922946,1.7960539932635666
30,G2 Esports,29.894869538719803,0.7992850303026572
2,Renegades,29.86864253726218,0.8154354527968987
327,SHIROGANE,29.73117174748442,0.9482653518500392
369,Team WaVii,29.62526959403306,1.495233603024596
389,KINGS Esports,29.333409135169816,1.2407244048911574
362,PWB,29.327183943793354,1.165662681149092
293,shojulli,29.298861861842393,3.5307312032238043
72,Asia manji,29.291326036851412,0.9711771340930698
273,Ballchasers,29.25363675783434,1.7268204718866038
170,Lost Legion Giants,29.155368787801052,1.0105524957958567
23,FaZe Clan,29.15385792432667,0.7998378170305365
28,NRG Esports,29.110501404221488,0.7927847025556042
173,eRa Eternity,29.092104615673495,0.8169541009418911
160,Team Queso,28.88128137558912,0.7886304276211398
8,Forkidden,28.873734173055432,0.826955010023092
113,CVent,28.720309469091806,1.3217257945134333
319,Forest Hunters,28.71836237703832,1.0574287595835477
4,Dire Wolves,28.576894468350805,0.8379460790560379
109,KRÜ Esports,28.571441542856114,0.9025798265686985
80,Hawks eSports,28.543702945620126,1.0555665035942285
158,Xayfhers,28.443893835499093,0.9037466151887453
48,Halal Men,28.433581488426043,1.7300866790827576
24,Version1,28.20742136339166,0.8003038404977992
285,Joga Bonito,28.20429779425329,1.2048260312546002
70,Team Celestial,28.183394268347055,1.0653816862191579
333,Evolved Gaming,28.007105822272006,1.0625222294267116
351,Chromax,27.990908753557456,0.9667095499604441
178,EndGame,27.990198280134784,0.8375535165868238
87,Team BDS,27.94553200933473,0.8053522876847947
16,Spacestation Gaming,27.898944612629027,0.8085864795915018
340,Team Espionage,27.786498189789874,1.113706522824492
162,Endpoint,27.735759181574608,0.7997172353582908
97,Dignitas,27.703310606508904,0.8075655767126931
241,Saudi Hurricane,27.626968655328074,1.2367794347542473
118,NOR,27.55027869914605,0.9116215137412796
12,R!OT Gaming,27.52840632648577,0.8383083264742802
46,Team Atelier,27.51021274949701,1.1917940310136605
11,Bandits ESC,27.46195863284181,0.8676838201167142
143,Expandas,27.4041270511714,2.024684937195491
443,Team Secret,27.341208457628614,1.2090041203275435
