,id,mu,sigma
0,Pirates Exdee,37.47340926413975,0.8992250001822572
1,Bravado Gaming,35.53294900333639,0.8767049870332944
2,ATK,33.66600253243892,0.8461137276309113
3,Water,35.4901191123741,1.8385443210337624
4,Royalty Esports,33.59398738284798,0.9649293602846404
5,AIPX Gaming,30.990514215575168,0.9857146361135245
6,Orgless,30.91032808900474,1.203787304481684
7,DNMK Esports,30.060122385836497,1.0234875770106275
8,Atomic Esports,30.222580921255148,1.2553478861334124
9,Digital Devils,31.61516596053648,2.025802162248298
10,Lost Legion Giants,29.155368787801052,1.0105524957958567
11,PWB,29.327183943793354,1.165662681149092
12,Bot Gaming,29.909417420922946,1.7960539932635666
13,Evolved Gaming,28.007105822272006,1.0625222294267116
14,The Goats,30.47525600663344,2.312393854233111
15,Ballchasers,29.25363675783434,1.7268204718866038
16,Team Espionage,27.786498189789874,1.113706522824492
17,Out of Retirement,27.159228242275315,1.0770643335322412
18,SLIM TYGER,34.9050317557687,5.155572587295057
19,Exotic Esports,26.025201212406124,1.1258452222197781
20,Expandas,27.4041270511714,2.024684937195491
21,MIST esports,25.59426118097873,1.2276941356517044
22,Unity,24.434340695890835,1.063729531038971
23,Barney and his Dinosaurs,25.095030838907668,1.4143276903552902
24,Synergy Gaming,25.212263685335856,1.5110188818505372
25,Yankees With No Brim,26.305569710664898,2.102510769787764
26,Anarchy Gaming,23.88004002608875,1.2835680996638443
27,Aufbau,24.11240912054359,1.4578329179992517
28,Dapper Dogs,23.393253840392635,1.1852479345804188
29,TKO X1,24.910626409990535,2.0006958884220656
30,Team FSN,23.521372633801843,1.3808603175416234
31,Suzaku,24.232177966834264,1.765860415805313
32,Ghosts,24.6630048718877,2.0129283751281672
33,Inferno,21.837561466927333,1.3228807096657202
34,Meraki Gaming,26.131428288926895,3.788494999152992
35,OFA,22.289509107021804,1.8688976343788959
36,Havoc Gaming,24.961297131420892,3.3013850109933056
37,Cryptic,23.87751009162865,2.7676055384852614
38,DWYM,23.033569313746195,2.397422994751838
39,Aces!,21.590080576982867,1.7865698172484896
40,X1,25.152616248735278,3.6624418682555135
41,Hope,24.280081343747174,3.484800401184888
42,Kitsune,20.541520676833777,2.2473980350722997
43,CARZ,23.00480436584367,3.494807064477253
44,MILS Esports,19.378780354405404,1.9511684675065688
45,Xclusiv 1 Crimson,23.65509818748967,4.158982163793253
46,win win,22.138223148822743,3.568599406689633
47,Crimson,18.609512808300547,2.582177175543719
48,TbK Esport,21.212974076516012,3.9189816267910222
49,Benchwarmers,17.50992720377705,2.262112124574787
50,Estya,20.091504333745704,3.7565119070138575
51,ARCHANGELS,20.20004803689304,3.9650176623272246
52,Rocket Squad,18.04338854124469,3.2663582553973733
53,ST Gaming,19.699761622010378,4.29841101215704
54,Slapsqueeze,17.025306333438255,5.344349816064903
55,TKO Crimson,18.012247221003566,6.141967639520334
56,Looking for toes,15.423022704041555,4.8513803841752
57,ALFA One,13.993312606122611,4.230688087012223
58,NO FEAR,14.535514799822964,4.728608073848161
59,Biju E-sport,13.865447910979022,4.743695856446489
