,id,mu,sigma
0,Team Alke,37.44255642356037,1.3171652630635147
1,Three Rats,36.48877159910509,1.109418538079239
2,Tokyo Verdy Esports,35.93294471974652,0.882839778342425
3,Pulse Clan,35.4935788153692,1.244927485675294
4,OKAY LETSGO,35.01274324713997,1.4672932037108566
5,Nimmt55,33.73642650438988,0.8411457495064437
6,Dark Rift Esports,33.61744032963886,0.938839518947726
7,DeToNator,33.210887989849525,0.8405706339339142
8,UHUH,33.24796390629379,0.981380184140936
9,1NE eSports,33.0984947021313,1.113387555311869
10,NSF,32.22286791614473,1.0532007623455104
11,Team GanDerS,31.5534313201942,0.9152547058527124
12,Slot Machine,33.06894650132827,1.721328507265994
13,God Speed,32.2236419435805,1.3044424389651665
14,Disconnected Esports,31.718493436940026,1.0959804239307687
15,Azure Esports,31.46468971822535,0.9966423728772985
16,TripleJawa,31.655395618089038,1.1864767147329103
17,Moonboots,30.905559766667018,1.1332753762455778
18,Hilltop Picnic,30.23960327455861,0.9702877227407665
19,SHIROGANE,29.8069349885426,0.9499897997779891
20,Parabellum Esports,31.246327201893767,1.7902890844509016
21,Asia manji,29.291326036851412,0.9711771340930698
22,Xayfhers,28.510789783331383,0.9057472059730818
23,CVent,28.720309469091806,1.3217257945134333
24,Team Celestial,28.183394268347055,1.0653816862191579
25,NOR,27.62244050689283,0.9133441883271413
26,Aloha,27.04044659130517,0.9389082023795808
27,Team Atelier,27.51021274949701,1.1917940310136605
28,Halal Men,28.433581488426043,1.7300866790827576
29,Team India,27.224885477542887,1.2125914131577054
30,True Parrots,26.784588348448647,1.1262288217187724
31,orgless,26.794397505418488,1.242497117023932
32,MOTI MOTI GAMING,26.123658495656084,0.910391519659524
33,GracesBlaze Anima,26.2576354035753,1.1146681011942978
34,KokeKoke Kickers,26.883288885879242,1.4534103083449414
35,Frost Esports,25.990252384717017,1.1339789114968448
36,dogma,25.850860781332994,1.0833783479170498
37,BLAST,25.455200579175465,0.887705314295652
38,Team Inherits Micro,25.608140417161234,0.989747639192676
39,Fall Mountain,26.27446546184611,1.426389607055845
40,Method2Madness,25.673193694098178,1.133458068215747
41,GracesBlaze Aqua,33.54505418222688,5.230105955833353
42,ZNTRA,25.656115660443632,1.3312469235409525
43,DeluxeDream,24.82782234348071,1.0480039462041606
44,We Own All,25.322022621681047,1.4093495705872743
45,Pineapple Cake,24.821162612550083,1.2793150164178875
46,spider,25.719656645381754,1.7288367626304786
47,AtlasGaming,24.179096944957628,1.1635209460974962
48,Team Inherits,24.026833035760276,1.4039994952292023
49,GracesBlaze Refine,23.7097030621998,1.2803116384235758
50,Pumpkings,24.249495918580845,1.5550720693292532
51,N Chiki,23.68589757676769,1.2749722363246783
52,Wizard Lizard,24.11928931002465,1.507960185346766
53,Team Go-No-Go,25.587431566668013,2.2460642883584083
54,No Comms,24.91795783032662,2.003169831165505
55,NOVEL FRONTIER,23.09247665170115,1.186227943005336
56,Friendly Fire Esports,22.831913610275844,1.0847610107532948
57,Origin Gaming,25.295885127996286,2.3267795649831275
58,Clovarity Esports,23.50958095531404,1.4501139675568804
59,Aqua,23.00069223157977,1.2168205555950224
60,The Donks,23.266160903044828,1.3836449379161548
61,randoms,23.12713024559362,1.3837486301479802
62,Hiraeth,22.9868226951345,1.4554697866513286
63,Night Raid Esports,23.9697416574419,1.9989450550550598
64,Integrity,23.39661027861696,1.7694088054102897
65,Sylphide,21.705402734115996,0.9815301075679348
66,Odyssey Esports,21.68859953396109,1.174082098223004
67,Team Rise,22.98573038900077,1.8323384309822515
68,DN Enterprises,26.453695450055445,3.6988801897969568
69,Team Inherits Macro,22.70372799930414,1.9526425649777595
70,Not Just Associates,21.88502553014313,1.6945456334423443
71,Etern4l,21.440791679667146,1.563281233332465
72,Shoguns,20.31756699211849,1.083482740806938
73,Flu Esports,20.60546843467361,1.352857989770862
74,Screaaam!,22.378392949542476,2.35197422126903
75,Gokkies,21.77396243821158,2.0915929227140984
76,Broerm,21.064114571600665,2.0383527835406605
77,Alpha,21.11816967542292,2.11100414982895
78,Exodus,19.410440986737278,1.289717329039372
79,Team Resolute Alpha,20.46721878674811,1.8295008994651925
80,RESOLUTE,19.045327215902063,1.1402909881208285
81,Tera,19.69139483196309,1.4816905943533585
82,benizakura,22.226809959390383,2.8106707583091652
83,Ponpoko Kickers,20.473700873173296,2.020545865342903
84,BlueBirds,23.83579147516808,3.7878614872724174
85,Groovy,21.65599675306161,2.8936814706452885
86,KACHIAGE Island,19.233961619741066,1.7395856526966673
87,Lucky Bounce,19.03038950527621,1.993713982522497
88,Slum Gums,20.57143528806056,2.843441884940349
89,ScubaDrivers,18.889177313349705,2.3125951527077566
90,Hiems DandeLion,18.18927098684265,2.220524557101895
91,Yakiniku,18.555104411361356,2.4413037231520787
92,Soy Sauce,17.21657664440567,1.8331588489764135
93,ZBURA,18.868117963692473,2.8682444868093033
94,Yamaneko,17.72855065501985,2.6538375606037357
95,Mandalorian,18.37469333651826,3.0055531805999385
96,Mix Fresh,16.802652279894243,2.4156330685109717
97,BoostBuster,16.67753080564753,2.3910151624226974
98,Axios,19.57221141547656,3.876667860045192
99,Wide Awake,15.341144242848538,1.7656736940174746
100,Power of Yogurt,17.85389522658358,3.1386606251625797
101,Team Grandpas,16.996680362851773,2.9322160921996074
102,LV0,15.161516337813788,2.2806261110287096
103,RhyThM,13.679912846992266,1.6425608471340074
104,Vite,17.854849173302075,3.758769028893306
105,Heart Broken,15.440416495625508,2.810032147808885
106,Team Logic,15.505893993188522,2.8903052735417294
107,RiceBread,16.30876655521784,3.2940475557267703
108,Prickets,15.370383455893199,2.8517469482934183
109,The 3 Lads,15.781298242074048,3.235634643622194
110,Team NazguL,15.928270200876149,3.3483898485237065
111,Trakin,17.208434818348714,4.274867962957868
112,Team Euphraxia,15.051235230342328,3.201107527711769
113,Penguin Cartel,15.536381487424034,3.5731728074679565
114,Dothraki,17.243381742114995,4.428753351591271
115,acrimony,14.663552551684072,3.2800144322293794
116,DanQuo,16.382366277220978,4.413438104121729
117,Sharma Ji Ka Team,12.848586197425098,2.6557303284004976
118,WYC,11.707952514132357,2.1496480563347182
119,Whiff Collective,12.612574658258703,3.0551970276707126
120,Ghidorah,14.644553400784922,4.160758950142833
121,BBS hayabusa,13.92523598619904,3.954130208130632
122,Okane,18.012247221003566,6.141967639520334
123,QWERTY,12.31297229605468,3.6977771789891913
124,CHEMICAL X,10.977382751227157,3.382783416280545
125,Kurobi,8.24812179499396,3.212662669146683
126,Own Goal Legends,11.114389677371953,4.815844838425721
127,Washed,10.011079294965862,4.378509764608523
128,Cat Atelier,10.226869996550072,4.66246930941616
