,id,mu,sigma
0,FaZe Clan,29.458798310012774,1.2128836129081384
1,Team Queso,29.21153752973674,1.166043674741284
2,Version1,30.446040422377216,1.820571155245084
3,SMPR Esports,29.236127241217307,1.5530273739108653
4,Spacestation Gaming,28.913729040759986,1.44123579963868
5,Team BDS,28.13715868093677,1.1032582004814793
6,NRG Esports,27.93049155726909,1.10073603417541
7,G2 Esports,27.855365564580477,1.1491866024533823
8,Dignitas,28.178985673657326,1.7058645259284944
9,Sandrock Gaming,27.648533039570463,1.9570127750643023
10,Complexity Gaming,26.5070915772335,1.6209412064141364
11,Endpoint,25.378387892562337,1.2305570146746105
12,FURIA Esports,25.38333105749056,1.2632444698600604
13,Evil Geniuses,26.066990296755783,1.8197308848680926
14,Pioneers,25.30604817457525,2.288213381584027
15,Renegades,23.78825874337878,1.624359277764901
16,Ground Zero Gaming,24.060692060995333,2.2787972968669625
17,Team Envy,21.786927100827015,2.2114505874262873
18,Team Secret,20.55302508801628,2.5414252887783344
19,Team Vitality,19.25889229241751,2.3145964462258566
20,DeToNator,21.359790743923107,3.561790676986213
21,eRa Eternity,19.13633801745287,2.5137283453389134
22,Tokyo Verdy Esports,11.812670629193907,3.905251565646042
