,id,mu,sigma
0,Sandrock Gaming,36.05757967472852,0.9117483554727529
1,Team Falcons,32.610465748137365,0.8690471203506687
2,SCYTES,32.1869056276652,0.9590795208003987
3,ANKAA,31.173210645074402,0.9263579946439424
4,The Ultimates,30.978402086686945,0.8398821990982925
5,Sleeping,30.85862238181285,1.084444936338141
6,The Deadly Boyz,30.4087676085494,1.3476508864240304
7,KINGS Esports,29.47205749495903,1.2420863068762995
8,Forest Hunters,28.847986594156144,1.06046253994073
9,Team WaVii,29.71657363175054,1.4948449094125151
10,Hawks eSports,28.543702945620126,1.0555665035942285
11,Joga Bonito,28.348372750163012,1.21005444990951
12,Saudi Hurricane,27.631135135363177,1.23679192464998
13,Uchiha,27.20977661903308,1.1748597186629164
14,The Evil eSports,26.181792166533384,0.9121019271285721
15,Revolution,26.106880933481705,0.9387973768384984
16,T2K,26.61221207448263,1.701691794664624
17,slow gang,25.86431618494344,1.363586367397624
18,quadruple,25.58485742521519,1.232185987348476
19,Birds,26.470093129227905,1.7530423610715684
20,25ESPORTS,24.711013748869874,1.0766870722135666
21,Tuchel,26.212137064295657,2.0111281346574033
22,Spoilers,25.845373450050467,1.8607632856700462
23,Invaders,25.427110241045035,1.8208879930122364
24,Fox Gaming,24.124632861753142,1.3456275397335036
25,You're Throwing,23.190637775634006,0.9515544094384735
26,Night Crawlers,25.19555936338215,2.172660731059528
27,Missing,23.718096096526214,1.8866969692525455
28,OwlArmy,22.821039544592992,1.5132042192103297
29,Mythical,23.123374866059144,1.7601406779415727
30,Wolves,23.932693517921038,2.187488571103578
31,Kerntina gang,23.775570019676866,2.143381615053149
32,Rapzers Esports,22.801881588867893,1.8733186193428568
33,Msheireb Esports,20.9495024429349,1.4178603030289245
34,Ruin Your Day,22.62202504036101,2.335204944214509
35,GreenBurger,21.252358752832198,2.051735103066147
36,AWW YEAH,21.825433229661158,2.357726088601844
37,Sudor Esports,21.482520133235028,2.4065306294170914
38,Mad Titans,18.80195192647084,1.320220583102086
39,Cringe,21.149345539914776,2.5703715310940627
40,Nightmare,20.901443820923664,2.46564801211695
41,Team MDRY,22.477733455095734,3.274751607643393
42,Rise Up,21.05929414659899,2.701244052804071
43,The Boneless,22.394905934545815,3.5519538981794136
44,Team Frenzy,20.060116166894087,2.7481850818313727
45,FOR THE WIN,20.768095769541873,3.3933085139270784
46,The Steel Team,19.659146875267336,3.911232778142205
47,TCSs,19.347580822569572,3.8077148748251757
48,Vibers,19.89581891844778,4.089169649184913
49,HAT,19.107786616847665,3.7858423582506675
50,ruthlessly,16.450849960869846,2.945949118567376
51,Frenzy eSports,18.109974607641853,4.281485393369574
52,Tornado,14.364978477424113,3.381293167722811
53,Rule Breakers,16.256567746459947,4.485231272854448
54,Team D7K,12.694265532566984,3.001431074785368
55,Monsters,16.83377991791692,5.4735821318322255
56,Ana Madre wallah,18.012247221003566,6.141967639520334
57,Krentina Esports,15.10131419106028,4.777821597201765
58,Senju,15.246230059258648,4.881343205757701
