,id,mu,sigma
0,G2 Esports,29.24049310535967,0.8137002114911371
1,FaZe Clan,28.849416793901053,0.8178879695902324
2,NRG Esports,28.664521550644412,0.801697432746183
3,Spacestation Gaming,27.626288290582192,0.8249048727140936
4,Version1,27.360783693184334,0.8136377876210137
5,Team Envy,27.216923794971084,0.820272104621562
6,True Neutral,27.020392450069266,1.005150104189859
7,Oxygen Esports,26.220874248473642,0.8331802602950164
8,Complexity Gaming,26.363342156196758,0.9417375176299901
9,Randoms,26.040391694737963,1.3887768471914816
10,Rogue,24.880292409031895,0.8196065643009779
11,XSET,24.732511893955817,0.8401597128702938
12,Ghost Gaming,24.32983056414779,0.83574283813041
13,Shopify Rebellion,24.126896944035277,0.8273824552987923
14,Susquehanna Soniqs,23.95115320442025,0.8328959219196005
15,Torrent,23.942056302050336,0.8350508137705678
16,AllMid,24.52674488832084,1.401293374000236
17,Charlotte Phoenix,23.057314848542646,0.8347536220463629
18,Vibrance,22.887816529911436,0.8693071764978622
19,eUnited,22.898145547309234,0.888471133414258
20,NXT Esports,23.233995902698606,1.0732186816234373
21,RBG Esports,22.794432114341554,0.8981463571491101
22,Gentlemen,23.217981834018786,1.2414632856028063
23,Pittsburgh Knights,22.75152645541701,1.0210802420368865
24,AXLE-R8,21.762381474564553,0.8971303591880534
25,Integrity Esports,21.822916771909153,1.293908565637187
26,Yo NA,22.410781465038887,1.6603483417431826
27,Nefarious,20.844475187142667,1.2062826603518932
28,Team DVS,20.325992287396215,1.1522568479248283
29,Team PWR,21.75641177573058,1.9105011911457153
30,Akrew,21.78213641079753,1.995867174111461
31,Prestige Esports,21.704634539566104,2.025015637880133
32,Pioneers,20.061780389179095,1.2380701654673918
33,Circuitry Gaming,21.339522799344596,1.9850835824366626
34,Team .EXE,19.49437836367125,1.5197207372501462
35,sup,19.380727947491625,2.1273819814552546
36,Manzana,19.242617202522737,2.156494207988198
37,Farmville,19.42875492422007,2.349121929050221
38,Flashes of Brilliance,19.211358139926972,2.3604686805285087
39,Top Leh,16.34464486406408,1.6980998527687376
40,Buckos,15.87030972234997,2.5459533328491917
41,Pickup,12.691062847209194,5.063526481577872
